NAME,B01003_001E,B19013_001E,B25064_001E,B25077_001E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B23025_003E,B23025_005E,state,county,tract
"Census Tract 4514.03, Alameda County, California",2158,103304,1493,417400,465,52,10,0,1321,41,06,001,451403
"Census Tract 4514.04, Alameda County, California",6198,54875,1576,366200,514,134,36,95,3456,244,06,001,451404
"Census Tract 4515.04, Alameda County, California",1761,105250,2309,506800,260,87,6,63,907,22,06,001,451504
"Census Tract 4515.05, Alameda County, California",3265,143393,2278,641600,522,327,17,178,1956,71,06,001,451505
"Census Tract 4515.06, Alameda County, California",3529,76830,1466,494200,313,107,20,80,2077,73,06,001,451506
"Census Tract 4517.03, Alameda County, California",4601,130980,2132,618900,976,201,14,72,2267,175,06,001,451703
"Census Tract 4075, Alameda County, California",3887,28816,947,234100,129,59,4,8,1488,252,06,001,407500
"Census Tract 4079, Alameda County, California",2908,99107,1996,484700,544,439,100,26,1649,131,06,001,407900
"Census Tract 4081, Alameda County, California",6023,103117,1487,622800,1841,754,338,242,3845,173,06,001,408100
"Census Tract 4085, Alameda County, California",5660,43729,1264,240800,243,79,27,12,2449,197,06,001,408500
"Census Tract 4087, Alameda County, California",7527,40859,1218,235800,311,59,85,41,3306,504,06,001,408700
"Census Tract 4092, Alameda County, California",3358,52381,1213,172900,168,31,0,20,1592,213,06,001,409200
"Census Tract 4095, Alameda County, California",4198,30913,1047,222200,85,17,0,0,1956,339,06,001,409500
"Census Tract 4096, Alameda County, California",5190,35833,1183,216100,175,22,13,0,2419,352,06,001,409600
"Census Tract 4102, Alameda County, California",3265,45859,1025,235300,280,80,8,2,1676,289,06,001,410200
"Census Tract 4213, Alameda County, California",4038,135556,1728,836000,1048,926,220,396,2278,93,06,001,421300
"Census Tract 4217, Alameda County, California",3580,68190,1402,745000,939,859,256,212,2217,129,06,001,421700
"Census Tract 4220, Alameda County, California",1952,60288,1473,551700,439,322,24,51,1116,135,06,001,422000
"Census Tract 4223, Alameda County, California",4022,57667,1454,688400,907,683,106,189,2302,154,06,001,422300
"Census Tract 4228, Alameda County, California",8448,14196,1272,635400,447,204,62,34,2964,607,06,001,422800
"Census Tract 4236.02, Alameda County, California",5841,25164,1333,665800,614,510,101,318,3100,351,06,001,423602
"Census Tract 4271, Alameda County, California",3572,103750,1600,790400,828,413,144,54,1854,35,06,001,427100
"Census Tract 4305, Alameda County, California",6193,54824,1277,419800,861,258,30,0,3116,307,06,001,430500
"Census Tract 4306, Alameda County, California",5739,97583,1559,560600,1216,416,190,89,3164,220,06,001,430600
"Census Tract 4307, Alameda County, California",3913,99831,1786,508800,682,246,56,44,2098,129,06,001,430700
"Census Tract 4002, Alameda County, California",1984,141806,1769,895300,615,440,199,82,1250,28,06,001,400200
