,lgbm_gain,xgb_gain,cat_pvc,lgbm_gain_norm,xgb_gain_norm,cat_pvc_norm,consensus
structuretaxvaluedollarcnt__isna,8.709099960327148,6.821373176574707,0.0192159305289724,1.2199040089739752e-05,0.005194937113328617,0.00019215930528972396,0.0017997651529026934
typeconstructiontypeid__isna,8.05905590057373,6.730473327636719,0.0036202507073211,1.1288508165528006e-05,0.005125710729341069,3.620250707321099e-05,0.0017244005815266023
airconditioningtypeid__isna,93.300163936615,6.003096961975098,0.0418251679783127,0.00013068772266098817,0.004571764422707385,0.00041825167978312694,0.0017069012750505
lotsizesquarefeet__isna,12.734839820861817,6.293783950805664,0.0,1.7837988106554222e-05,0.004793142228546169,0.0,0.0016036600722175746
poolsizesum__isna,7.732451820373536,6.1639180183410645,0.0,1.0831026188517252e-05,0.0046942405360490954,0.0,0.0015683571874125374
buildingclasstypeid,3.313498020172119,5.74112024307251,0.0245450169298329,4.6412942060013505e-06,0.004372251429556861,0.00024545016929832897,0.0015407809643537306
decktypeid__isna,7.189346122741699,5.775656700134277,0.0136997614646624,1.0070285330270404e-05,0.004398553277866405,0.000136997614646624,0.0015152070592811
finishedsquarefeet6__isna,7.897760200500488,5.790859794616699,0.0,1.1062577504442539e-05,0.004410131462744985,0.0,0.0014737313467498092
yearbuilt__isna,5.099959945678711,5.71571159362793,0.0007523185669539,7.1436332246512115e-06,0.004352901024208493,7.523185669538999e-06,0.0014558559477008944
finishedsquarefeet15__isna,10.496326065063476,5.406893730163574,0.0037155562762337,1.4702449512116952e-05,0.00411771533085292,3.7155562762336994e-05,0.001389857781042458
numberofstories__isna,12.394222068786622,4.948835372924805,0.0352365752895457,1.73608768514566e-05,0.0037688729059491255,0.00035236575289545696,0.0013795331785653464
finishedsquarefeet13,18.60925588607788,5.249560117721558,0.0053203292171225,2.6066420138546892e-05,0.003997895141971315,5.320329217122499e-05,0.0013590549514270291
regionidneighborhood__isna,34.57008409500122,4.820119380950928,0.0012950892044294,4.8423125661856904e-05,0.0036708469709247392,1.2950892044293999e-05,0.0012440736628769634
buildingqualitytypeid__isna,2.8773359298706054,4.734868717193604,0.0094471176449811,4.030351760806016e-06,0.003605922823597675,9.447117644981098e-05,0.0012348081172694307
propertyzoningdesc__isna,0.0,3.8456513404846193,0.006350166064003,0.0,0.002928723639136428,6.350166064002999e-05,0.0009974084332588194
pooltypeid10__isna,24.677238082885744,3.2075855255126955,0.0079133312030544,3.456598478011585e-05,0.0024427933583643724,7.9133312030544e-05,0.0008521642183916774
garagecarcnt__isna,0.0,3.2236533164978027,0.0069039878124275,0.0,0.002455030068123104,6.903987812427498e-05,0.0008413566487491263
