,fold_0,fold_1,fold_2,fold_3,fold_4,mean_pvc
regionidcity__taxvaluedollarcnt__median,0.31149342242623423,0.12977891865320604,0.09765048049568201,0.12454363118931339,0.22914659605969326,0.17852260976482576
buildingqualitytypeid,0.3302859650672778,0.1500867134322027,0.03783831657037049,0.03300844813820689,0.3412059224776094,0.17848507313713347
latitude,0.1934606895364071,0.13699993020510315,0.1377690956880853,0.1374622744943756,0.2504642625331261,0.17123125049141946
taxdelinquencyyear__isna,0.26990313275802497,0.12639842774014862,0.10885697249627672,0.2942939895203182,0.040675599605528835,0.16802562442405944
regionidcity__bedroomcnt__mean,0.3001236939583186,0.06352261576975084,0.00874915791856383,0.05525887312708387,0.4042965346043302,0.16639017507560946
regionidcity__calculatedfinishedsquarefeet__mean,0.2344178736510134,0.019484218301502935,0.2652605796511945,0.0999177597118776,0.1994849820602222,0.1637130826751621
geo_grid,0.3172361338876042,0.09613436708170103,0.12316696519280099,0.05457584288708853,0.22212208365774172,0.1626470785413873
longitude,0.24631998612793907,0.11054465472437201,0.1901488120249828,0.014209168214403036,0.24886613599654056,0.16201775141764746
non_null_count,0.21303938205902342,0.0776831456915715,0.24213390601390813,0.1338286996065647,0.1367672577968347,0.1606904782335805
trans_year,0.21239266563990358,0.029500418983659883,0.06807034650883698,0.2150770220056682,0.17584717129946434,0.1401775248875066
data_quality_score,0.11088686933910617,0.09607359788259003,0.12082741437668801,0.10318646485743942,0.2309296142990042,0.13238079215096557
taxdelinquencyflag__isna,0.1792744058633025,0.19259505423200637,0.08668169833173137,0.08566965959461074,0.11573411539095219,0.13199098668252063
lon,0.26988931476171163,0.015406584340202218,0.012816047746458533,0.1580908987206628,0.1964046166965195,0.13052149245311093
numberofstories,0.15911661202406757,0.0,0.10504618863140755,0.22904457952681193,0.13562960992313378,0.12576739802108416
regionidcity__calculatedfinishedsquarefeet__median,0.07419382499828667,0.0488521236823757,0.12261259732685943,0.061985156459169986,0.2810116997493767,0.11773108044321368
poolsizesum,0.049625397036365565,0.05966330704615736,0.30946874601084867,0.10404177207280003,0.03750877944970258,0.11206160032317485
heatingorsystemtypeid__isna,0.031291676729067706,0.10998456070880976,0.3466401862738683,0.018306068422408606,0.02925508041647273,0.1070955145101254
heatingorsystemtypeid,0.14126256289262135,0.0035954158580408803,0.09306628802241612,0.09494668613655068,0.2014731754751375,0.1068688256769533
hashottuborspa,0.07895615451942843,0.028024052446927857,0.0756513700973337,0.19053156759904868,0.10883260022613449,0.09639914897777464
unitcnt,0.279070222391297,0.0,0.033117427392669,0.06655993161307645,0.10058205705990074,0.09586592769138863
pooltypeid7,0.08828012587352188,0.22093859391145887,0.0,0.09407956031098992,0.03368284989657595,0.08739622599850931
geo_cluster_50__bathroomcnt__median,0.15028324354017192,0.10465469228028773,0.025053887925490872,0.10841241022948005,0.04810812303681231,0.08730247140244858
buildingclasstypeid,0.10862178710254597,0.05653709218152352,0.021061786380480955,0.0962193847243649,0.15260572970873967,0.087009156019531
buildingqualitytypeid__isna,0.007550890139633343,0.0,0.25637445360727706,0.11566074850532125,0.037306277259595566,0.08337847390236544
yardbuildingsqft17,0.21286795050539187,0.0,0.04526496946922271,0.0,0.15416895053018456,0.08246037410095983
regionidzip__bathroomcnt__median,0.07744428900285481,0.09677425919710542,0.062365559063331584,0.04656290444834306,0.11732986168731502,0.08009537467978997
regionidcounty,0.06894305244086373,0.07167807725769193,0.05421639809924339,0.10931462988389369,0.05477885165294755,0.07178620186692805
airconditioningtypeid,0.14737031327216998,0.0,0.08016082400244856,0.04846041848281345,0.061335500481952875,0.06746541124787697
finishedsquarefeet15__isna,0.0860061633882965,0.0,0.10239276083260782,0.1373897232477001,0.0,0.06515772949372088
poolsizesum__isna,0.017097716930200266,0.1834261242811109,0.010005560753063665,0.04153754589330558,0.018973990104332174,0.054208187592402514
censustractandblock__isna,0.0,0.0,0.06270693587205038,0.0,0.2045033671355114,0.05344206060151235
roomcnt,0.09348196461041422,0.05532356874263554,0.08712143505531479,0.0,0.016629466144651654,0.050511286910603234
finishedsquarefeet50,0.036036571580683754,0.013361062617842208,0.0,0.009112397567891294,0.18350529024629253,0.048403064402541954
architecturalstyletypeid,0.014333425175880111,0.06155220915987871,0.062055120618313274,0.07391578392590699,0.009393430168633013,0.044249993809722415
garagecarcnt,0.05425355132212952,0.09861458833288203,0.004181666396645449,0.02795222182313848,0.0,0.037000405574959094
typeconstructiontypeid,0.04273834710513582,0.08821975386639995,0.02148078354422271,0.006590376555136459,0.024264403023181433,0.036658732818815265
finishedsquarefeet13,0.02990913584338817,0.013563031835194734,0.0357302797030995,0.05842272030260949,0.045494290624393786,0.036623891661737136
basementsqft,0.09445252040369484,0.01966420460708737,0.0032851156034661793,0.0,0.058410661426535976,0.03516250040815687
regionidzip__bedroomcnt__median,0.023001198700176632,0.0,0.08023817215962455,0.036573074488329346,0.003046905670613918,0.02857187020374889
buildingclasstypeid__isna,0.0,0.0,0.0,0.05405582949355687,0.05114866167550868,0.02104089823381311
structuretaxvaluedollarcnt__isna,0.06052317257884213,0.0,0.0,0.0,0.04041028899541631,0.020186692314851686
garagecarcnt__isna,0.0,0.03873148727271742,0.0,0.06128580966405178,0.0,0.020003459387353838
regionidcity__bedroomcnt__median,0.06232486241239887,0.019546145415190366,0.00924399836221446,0.0014849014852059822,0.006494064316914238,0.01981879439838478
finishedfloor1squarefeet,0.03604244886502255,0.012390113455188121,0.009720310599375807,0.005358258176087727,0.02870067604563975,0.018442361428262794
fireplacecnt,0.0,0.0,0.010417443100038379,0.027827301588807786,0.03974754547245151,0.015598458032259534
threequarterbathnbr,0.0,0.05084801098366861,0.0,0.0,0.011660340587832812,0.012501670314300283
geo_cluster_50__bedroomcnt__median,0.02096987702633128,0.0,0.0324097264855443,0.0,0.007423023601815058,0.012160525422738128
regionidcity__bathroomcnt__median,0.009585456842466467,0.0,0.0,0.03454138481740219,0.007995631915795966,0.010424494715132926
unitcnt__isna,0.018551113697638406,0.0,0.014663295496281712,0.008709387809522427,0.0,0.008384759400688509
fireplaceflag,0.03489876239583042,0.0,0.0,0.0,0.0,0.006979752479166083
threequarterbathnbr__isna,0.0,0.0,0.0,0.029603561882238255,0.0013062125585701124,0.0061819548881616735
finishedsquarefeet6__isna,0.027504001285109356,0.0,0.0,0.0,0.0,0.005500800257021871
regionidneighborhood__isna,0.007638903020912626,0.0,0.0,0.0,0.01670497525385701,0.004868775654953927
decktypeid,0.0,0.0,0.01794533677648394,0.0,0.0,0.0035890673552967877
pooltypeid10__isna,0.0,0.0,0.011694068631910685,0.004630183682401,0.0,0.003264850462862337
propertyzoningdesc__isna,0.012779862940474148,0.0,0.0,0.0,0.0,0.0025559725880948295
numberofstories__isna,0.011008073923287898,0.0,0.0,0.0,0.0,0.0022016147846575795
fireplacecnt__isna,0.0,0.0,0.0033642969668342643,0.0,0.0023250365513432453,0.0011378667036355018
fireplaceflag__isna,0.003579553846288411,0.0,0.0,0.0,0.0,0.0007159107692576822
yardbuildingsqft26,0.0,0.0,0.0,0.0,0.0031206957864192268,0.0006241391572838454
rawcensustractandblock__isna,0.0,0.0,0.0,0.0,5.638111109073779e-05,1.1276222218147558e-05
typeconstructiontypeid__isna,0.0,0.0,0.0,0.0,0.0,0.0
storytypeid,0.0,0.0,0.0,0.0,0.0,0.0
yardbuildingsqft17__isna,0.0,0.0,0.0,0.0,0.0,0.0
