number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_max_bin,params_max_depth,params_max_leaves,params_min_child_weight,params_num_parallel_tree,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
41,0.05952206999063492,2025-08-29 02:43:41.517790,2025-08-29 02:47:35.251046,0 days 00:03:53.733256,0.60289560824223,0.5116198688559751,0.9846350130147533,0.0037355449680141657,9.01549904720538e-08,depthwise,240,12,,79.3987272650154,,5.951511130216411,0.018536439062951778,0.6716926772790249,0.057938553392887115,0.06056366488337517,COMPLETE
42,0.060591183602809906,2025-08-29 02:47:35.276849,2025-08-29 02:50:27.168252,0 days 00:02:51.891403,0.5066713989486935,0.5324719546820075,0.9242964906483768,0.004884061488635047,4.207084895606974e-06,depthwise,410,11,,73.60609859389024,,4.059693503819492,0.04212873362742044,0.6464083786649102,0.060591183602809906,,PRUNED
43,0.05954153090715408,2025-08-29 02:50:27.205897,2025-08-29 02:55:12.904289,0 days 00:04:45.698392,0.5181686526552176,0.5766301072614668,0.9759310312224387,0.002881146396864377,8.267736030584252e-08,depthwise,146,11,,22.796762116097945,,2.287814741338669,0.005975059166787014,0.668614886096128,0.06058061495423317,,COMPLETE
44,0.060576941817998886,2025-08-29 02:55:12.929829,2025-08-29 02:58:05.815240,0 days 00:02:52.885411,0.8020553519617339,0.7174205158542017,0.9837324661687193,0.00482376422721703,2.3765490191898107e-05,depthwise,262,12,,64.67757708900803,,4.46878034363134,0.003812547017949468,0.7036876230616608,0.05794575810432434,0.060576941817998886,PRUNED
45,0.06062779948115349,2025-08-29 02:58:05.846921,2025-08-29 02:59:10.180568,0 days 00:01:04.333647,0.5827780829106303,0.5541909361265503,0.9824874142926745,0.011518572942194535,2.7860027892101974e-08,depthwise,153,11,,20.533274311094896,,1.1055233090738765,0.0016355691424125632,0.693503453186901,0.06062779948115349,,PRUNED
46,0.060593701899051666,2025-08-29 02:59:10.211462,2025-08-29 03:15:10.356718,0 days 00:16:00.145256,0.6201602092635723,0.6345647665191984,0.8777158184507292,0.003399805770691214,1.5940721294072675e-06,lossguide,152,12,3565.0,60.68946852689302,,1.9761646969305087,0.007608849962197959,0.5197334336976591,0.057955801486968994,0.060593701899051666,PRUNED
47,0.06066250056028366,2025-08-29 03:15:10.396607,2025-08-29 03:15:37.361701,0 days 00:00:26.965094,0.5266856084338782,0.6799443962659879,0.9927015259268428,0.059709284593679406,2.385676979105075e-06,depthwise,325,8,,82.13536307853359,,0.01468744888128195,0.03666389583001777,0.8874794464079104,0.057916320860385895,0.06066250056028366,PRUNED
48,0.060603171586990356,2025-08-29 03:15:37.391326,2025-08-29 03:16:40.865104,0 days 00:01:03.473778,0.5789323380028932,0.564219658343366,0.9714241077140545,0.017414299913454136,1.0155592265024849e-07,depthwise,351,8,,17.468602087777068,,1.1891028903521024,0.7830062991021818,0.8581700279683296,0.060603171586990356,,PRUNED
49,0.060591183602809906,2025-08-29 03:16:40.898179,2025-08-29 03:20:47.615720,0 days 00:04:06.717541,0.6328231015768939,0.607567602468917,0.8448298712863891,0.002276150512673708,2.1924862441161317e-08,depthwise,385,9,,52.86493219136224,,0.39908626127184516,0.055675829038817216,0.9271161575842067,0.060591183602809906,,PRUNED
50,0.05956921726465225,2025-08-29 03:20:47.656550,2025-08-29 03:25:33.563523,0 days 00:04:45.906973,0.5050681564242417,0.5655605906286766,0.970202067942999,0.001830009967984833,3.9422885007089704e-05,depthwise,181,10,,19.646558764008773,,0.6632106389258969,0.030582935843892742,0.5708503097750306,0.06058388575911522,,COMPLETE
51,0.05799848213791847,2025-08-29 03:25:33.589802,2025-08-29 03:28:42.228943,0 days 00:03:08.639141,0.6854390497655145,0.567981874436723,0.9638754562673937,0.002334914304896328,6.724100079964582e-08,depthwise,328,11,,6.576772814216325,,5.148710919196391,0.4076320914839835,0.6309115294526302,0.05799848213791847,,PRUNED
52,0.059509195387363434,2025-08-29 03:28:42.270359,2025-08-29 03:32:19.494207,0 days 00:03:37.223848,0.5366958025317311,0.578951952245167,0.8691250374025934,0.00495217667856147,1.2238283105954193e-08,depthwise,327,9,,95.32187724982603,,0.2816419301266636,33.1696891082419,0.6741095053509962,0.05792991444468498,0.06053468957543373,COMPLETE
53,0.06079595163464546,2025-08-29 03:32:19.520908,2025-08-29 03:32:38.095210,0 days 00:00:18.574302,0.5164562474185693,0.6458288274236285,0.8363993287330668,0.07774197494652454,8.843693320312401e-08,depthwise,368,12,,55.40008208191199,,0.06717046372123579,195.11705332583776,0.6359935249000177,0.06079595163464546,,PRUNED
54,0.059529244899749756,2025-08-29 03:32:38.122834,2025-08-29 03:35:15.168609,0 days 00:02:37.045775,0.629847360756368,0.6188575184646244,0.6936952334551619,0.009136749916412314,2.5781104176933337e-06,depthwise,336,6,,44.9465681220947,,0.013745286836428328,35.434106531059285,0.6280661929463884,0.060578204691410065,,COMPLETE
55,0.06061013042926788,2025-08-29 03:35:15.194412,2025-08-29 03:53:15.714171,0 days 00:18:00.519759,0.5324605619640586,0.66791601250622,0.8780489236387585,0.0028256334903493754,1.8889132567287386e-08,lossguide,320,11,1077.0,71.91963613209205,,0.10515472865170941,93.15986094769193,0.5716477166950611,0.05796455964446068,0.06061013042926788,PRUNED
56,0.05953574925661087,2025-08-29 03:53:15.759132,2025-08-29 03:54:57.463797,0 days 00:01:41.704665,0.6203828294619256,0.6480811774500899,0.7746919225773686,0.012952931967521723,9.022627172854968e-07,depthwise,473,7,,36.918290698146684,,0.023098245859317856,0.5000187381907802,0.6001013600700004,0.05790121108293533,0.0605594702064991,COMPLETE
57,0.06059590354561806,2025-08-29 03:54:57.487389,2025-08-29 03:56:26.958293,0 days 00:01:29.470904,0.7014245775714606,0.6219648785923625,0.8395061765568071,0.010405915289785893,4.837423556010056e-07,depthwise,510,7,,15.93064488284156,,0.009388580790958634,0.11907784098196474,0.6233430599936528,0.05794752761721611,0.06059590354561806,PRUNED
58,0.05953853577375412,2025-08-29 03:56:26.989522,2025-08-29 03:58:28.925222,0 days 00:02:01.935700,0.5372529973001005,0.6394084465685788,0.6399291038743136,0.020581892947357548,4.884018984935963e-07,depthwise,428,4,,78.15845059337671,,0.03756460416107492,5.772128507457906,0.6750691569738174,0.06054065003991127,,COMPLETE
59,0.05800318345427513,2025-08-29 03:58:28.948187,2025-08-29 04:00:31.578554,0 days 00:02:02.630367,0.5155751028602658,0.5737322644428613,0.8849903033242437,0.003289142920572187,2.0148974885577808e-07,depthwise,363,9,,35.370690698301914,,1.5280381329646826,917.5940248503812,0.7075741886289832,0.05800318345427513,,PRUNED
60,0.060610972344875336,2025-08-29 04:00:31.613591,2025-08-29 04:03:01.308689,0 days 00:02:29.695098,0.6159060181646572,0.5050335028388028,0.807817702072459,0.005633358640618034,2.2176769830155994e-08,depthwise,397,8,,16.770625968801042,,0.002385656259477816,332.6847653625795,0.6154724594591198,0.060610972344875336,,PRUNED
61,0.06058194115757942,2025-08-29 04:03:01.338379,2025-08-29 04:04:24.964755,0 days 00:01:23.626376,0.7154855091056195,0.7401528969830841,0.7889945131768913,0.018446491466985526,5.591499154640906e-07,depthwise,325,5,,13.507350686369454,,0.013116372633548793,27.392944791389763,0.5517629784405556,0.05791110172867775,0.06058194115757942,PRUNED
62,0.05803772807121277,2025-08-29 04:04:24.996145,2025-08-29 04:06:50.548916,0 days 00:02:25.552771,0.6135722831365026,0.6592212029092447,0.8048259546677156,0.0176101128180285,3.964052153244994e-08,lossguide,417,8,703.0,76.92381991262063,,0.4462653463973705,0.7505447896276811,0.7172435746059256,0.05803772807121277,,PRUNED
63,0.05953563377261162,2025-08-29 04:06:50.588885,2025-08-29 04:11:31.983490,0 days 00:04:41.394605,0.6715036425205915,0.5316480923035956,0.9013430638695438,0.003381387191618754,1.5873194052371223e-07,depthwise,279,11,,43.479495902076856,,4.13666584055631,0.05557071967332111,0.7544789385661005,0.06057366356253624,,COMPLETE
